"Data","Último","Abertura","Máxima","Mínima","Var%"
"01.09.2025","136,64","136,65","139,48","136,48","-0,13%"
"01.08.2025","136,82","148,24","152,89","133,94","-7,40%"
"01.07.2025","147,75","147,70","150,26","139,37","0,03%"
"01.06.2025","147,70","160,44","160,44","147,70","-7,94%"
"01.05.2025","160,44","181,91","182,18","160,44","-11,80%"
"01.04.2025","181,91","188,36","210,58","180,45","-3,42%"
"01.03.2025","188,36","178,14","190,23","167,39","7,21%"
"01.02.2025","175,69","174,78","177,28","163,56","-0,02%"
"01.01.2025","175,72","214,31","214,38","172,80","-18,01%"
"01.12.2024","214,31","161,46","218,20","161,46","32,73%"
"01.11.2024","161,46","157,57","166,33","153,02","3,94%"
"01.10.2024","155,34","153,03","159,07","143,49","5,88%"
"01.09.2024","146,71","149,31","158,07","136,45","-1,74%"
"01.08.2024","149,31","158,01","176,83","141,89","-5,51%"
"01.07.2024","158,01","169,97","169,97","145,28","-7,04%"
"01.06.2024","169,97","143,35","200,49","141,83","18,57%"
"01.05.2024","143,35","149,32","197,96","99,37","-4,00%"
"01.04.2024","149,32","138,42","163,10","138,42","7,87%"
"01.03.2024","138,42","124,66","138,47","120,76","11,04%"
"01.02.2024","124,66","139,30","139,30","122,68","-10,51%"
"01.01.2024","139,30","131,47","143,28","128,48","5,96%"
"01.12.2023","131,47","146,24","153,55","131,47","-10,10%"
"01.11.2023","146,24","182,29","182,29","142,17","-19,78%"
"01.10.2023","182,29","186,07","199,88","178,27","-2,05%"
"01.09.2023","186,10","167,67","189,21","163,82","10,99%"
"01.08.2023","167,67","163,69","188,45","162,81","2,79%"
"01.07.2023","163,12","173,35","181,34","161,84","-7,29%"
"01.06.2023","175,95","209,05","209,05","174,41","-15,37%"
"01.05.2023","207,90","216,74","237,45","206,96","-4,46%"
"01.04.2023","217,61","221,56","230,97","214,32","-2,87%"
"01.03.2023","224,04","229,30","279,65","207,82","-2,22%"
"01.02.2023","229,12","226,89","237,45","212,77","0,57%"
"01.01.2023","227,83","250,46","258,45","227,83","-8,96%"
"01.12.2022","250,26","252,93","252,93","252,93","-1,17%"
"01.11.2022","253,23","272,61","272,61","272,61","-7,17%"
"01.10.2022","272,80","282,23","282,23","282,23","-11,01%"
"01.09.2022","306,56","256,67","256,67","256,67","19,03%"
"01.08.2022","257,55","281,51","281,51","281,51","-6,40%"
"01.07.2022","275,16","290,81","290,81","290,81","-5,77%"
"01.06.2022","292,02","222,37","222,37","222,37","32,43%"
"01.05.2022","220,51","244,26","244,26","244,26","0,65%"
"01.04.2022","219,08","205,95","205,95","205,95","7,48%"
"01.03.2022","203,83","220,63","220,63","220,63","-6,57%"
"01.02.2022","218,17","224,00","224,00","224,00","-3,81%"
"01.01.2022","226,81","201,50","208,72","199,75","12,58%"
"01.12.2021","201,47","252,80","252,80","201,47","-20,76%"
"01.11.2021","254,26","244,21","263,45","223,88","4,13%"
"01.10.2021","244,17","203,49","244,17","199,70","20,28%"
"01.09.2021","203,00","175,44","205,48","173,48","16,21%"
"01.08.2021","174,68","175,41","188,20","172,46","0,02%"
"01.07.2021","174,64","164,61","178,24","163,60","6,18%"
"01.06.2021","164,47","170,59","174,46","157,19","-3,71%"
"01.05.2021","170,81","189,94","192,86","170,54","-9,89%"
"01.04.2021","189,56","221,12","222,97","188,00","-14,42%"
"01.03.2021","221,50","193,08","228,15","183,38","14,25%"
"01.02.2021","193,87","171,56","193,87","147,62","12,93%"
"01.01.2021","171,67","141,23","177,42","141,23","21,24%"
"01.12.2020","141,60","165,70","165,70","141,24","-14,44%"
"01.11.2020","165,49","216,29","216,29","163,70","-23,15%"
"01.10.2020","215,33","245,40","245,40","209,44","-12,80%"
"01.09.2020","246,93","210,49","251,22","193,64","16,47%"
"01.08.2020","212,01","215,22","231,67","204,89","-1,49%"
"01.07.2020","215,22","248,42","261,01","199,72","-14,38%"
"01.06.2020","251,36","279,82","279,82","202,67","-11,74%"
"01.05.2020","284,79","313,36","338,17","265,58","-4,72%"
"01.04.2020","298,91","264,87","366,65","226,04","12,86%"
"01.03.2020","264,85","133,29","376,53","110,49","96,68%"
"01.02.2020","134,66","104,91","134,66","92,06","28,79%"
"01.01.2020","104,56","99,01","106,87","96,06","5,50%"
"01.12.2019","99,11","124,52","124,92","96,80","-20,16%"
"01.11.2019","124,14","121,51","128,41","114,72","2,33%"
"01.10.2019","121,31","136,22","143,03","117,14","-10,95%"
"01.09.2019","136,23","134,34","138,18","118,04","1,91%"
